[2025-09-23 12:06:00][LOG][CORE] include(/var/www/html/AFIP.php): Failed to open stream: No such file or directory. File: /var/www/html/app/vendor/core.php (Line: 525) PHP 8.1.31 (OS: Linux) [Input: fpm-fcgi] Request: /index.php
[2025-09-23 12:06:00][LOG][CORE] include(): Failed opening '/var/www/html/AFIP.php' for inclusion (include_path='.:/usr/local/lib/php'). File: /var/www/html/app/vendor/core.php (Line: 525) PHP 8.1.31 (OS: Linux) [Input: fpm-fcgi] Request: /index.php
[2025-09-23 12:06:00][LOG][CORE] include(/var/www/html/AFIP.php): Failed to open stream: No such file or directory. File: /var/www/html/app/vendor/core.php (Line: 525) PHP 8.1.31 (OS: Linux) [Input: fpm-fcgi] Request: /index.php
[2025-09-23 12:06:00][LOG][CORE] include(): Failed opening '/var/www/html/AFIP.php' for inclusion (include_path='.:/usr/local/lib/php'). File: /var/www/html/app/vendor/core.php (Line: 525) PHP 8.1.31 (OS: Linux) [Input: fpm-fcgi] Request: /index.php
[2025-09-23 12:14:18][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: test_core.php
[2025-09-23 12:14:18][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: test_core.php
[2025-09-23 12:14:30][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: index.php
[2025-09-23 12:14:30][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: index.php
[2025-09-23 13:06:25][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:06:25][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:06:56][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --help
[2025-09-23 13:06:56][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --help
[2025-09-23 13:07:09][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --make=migration
[2025-09-23 13:07:09][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --make=migration
[2025-09-23 13:12:57][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:12:57][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:13:52][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:13:52][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:14:00][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --migrate=20250922
[2025-09-23 13:14:00][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --migrate=20250922
[2025-09-23 13:14:22][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 13:14:22][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 15:07:37][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --rollback=20250922
[2025-09-23 15:07:37][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --rollback=20250922
[2025-09-23 15:07:56][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
[2025-09-23 15:07:56][LOG][CORE] file_put_contents(/var/www/html/var/afip/dev/dev.log): Failed to open stream: Permission denied. File: /var/www/html/app/third_party/afip/src/Services/AfipLogService.php (Line: 29) PHP 8.1.31 (OS: Linux) [Input: cli] Request: app/vendor/migrate.php --status=all
